Model,MAE,SMAPE,RMSE,R2
LASSO,60.54447370668054,48.932625330240214,110.02023450921811,0.5650004668543793
RF,36.397905349661606,34.20581020952973,67.02443500708279,0.8385604338954239
TPOT,34.74137329727196,31.11749897254736,63.454651048702885,0.8552993178231049
