Model,MAE,SMAPE,RMSE,R2
Naive,89.83937823834198,66.19426876646081,159.7070099136041,0.10561242561560968
ExpSmooth,84.63056776303462,62.00113482034112,143.28063221453817,0.2801321503942624
ARIMA,83.80965636503372,65.49938502609209,136.49985030215845,0.3466556351055381
