timestamp,clostridia_GA
2012-01-02 10:44:00,16
2012-01-04 10:32:00,20
2012-01-05 09:45:00,50
2012-01-09 10:00:00,5
2012-01-11 14:27:00,28
2012-01-13 11:30:00,63
2012-01-16 14:12:00,16
2012-01-18 12:05:00,7
2012-01-20 11:10:00,19
2012-01-23 13:25:00,15
2012-01-25 09:05:00,7
2012-01-27 09:30:00,33
2012-01-30 12:30:00,14
2012-02-01 13:30:00,12
2012-02-03 08:30:00,16
2012-02-06 09:53:00,12
2012-02-08 10:15:00,13
2012-02-10 11:50:00,9
2012-02-13 13:15:00,14
2012-02-15 12:55:00,15
2012-02-17 11:00:00,17
2012-02-20 13:45:00,17
2012-02-22 12:20:00,13
2012-02-24 11:05:00,22
2012-02-27 13:50:00,11
2012-02-29 13:05:00,6
2012-03-02 14:45:00,5
2012-03-05 11:55:00,8
2012-03-07 11:35:00,16
2012-03-09 13:50:00,17
2012-03-12 14:20:00,13
2012-03-14 11:00:00,14
2012-03-16 11:10:00,5
2012-03-19 13:40:00,11
2012-03-21 11:30:00,5
2012-03-23 11:00:00,10
2012-03-26 13:20:00,10
2012-03-28 10:40:00,7
2012-03-30 08:20:00,8
2012-04-02 12:31:00,26
2012-04-04 11:30:00,9
2012-04-05 08:50:00,10
2012-04-09 10:55:00,19
2012-04-11 11:45:00,26
2012-04-13 11:00:00,20
2012-04-16 13:20:00,12
2012-04-20 08:55:00,18
2012-04-23 13:00:00,32
2012-04-27 10:20:00,23
2012-04-30 14:35:00,20
2012-05-02 13:35:00,13
2012-05-04 09:48:00,23
2012-05-07 13:30:00,6
2012-05-10 09:45:00,18
2012-05-14 12:30:00,21
2012-05-18 08:20:00,18
2012-05-21 13:09:00,30
2012-05-24 10:35:00,12
2012-05-28 15:28:00,10
2012-05-31 13:30:00,17
2012-06-04 14:45:00,15
2012-06-07 11:45:00,9
2012-06-11 13:07:00,33
2012-06-14 09:30:00,14
2012-06-18 16:08:00,9
2012-06-21 09:00:00,7
2012-06-25 15:07:00,70
2012-06-28 11:45:00,31
2012-07-02 13:43:00,20
2012-07-05 09:10:00,13
2012-07-09 14:39:00,9
2012-07-12 09:00:00,32
2012-07-16 14:30:00,10
2012-07-19 09:25:00,8
2012-07-23 14:10:00,15
2012-07-26 09:34:00,5
2012-07-30 14:14:00,17
2012-08-01 10:55:00,12
2012-08-03 12:30:00,39
2012-08-06 13:42:00,12
2012-08-07 13:30:00,18
2012-08-08 10:25:00,27
2012-08-09 08:55:00,46
2012-08-10 08:50:00,21
2012-08-13 14:15:00,18
2012-08-15 13:05:00,8
2012-08-17 13:00:00,7
2012-08-20 12:35:00,6
2012-08-22 09:05:00,7
2012-08-24 07:30:00,9
2012-08-27 12:50:00,4
2012-08-29 11:25:00,3
2012-08-31 09:15:00,3
2012-09-03 12:15:00,7
2012-09-05 08:05:00,10
2012-09-07 12:10:00,22
2012-09-10 13:25:00,7
2012-09-13 12:05:00,8
2012-09-17 12:35:00,50
2012-09-19 09:20:00,32
2012-09-24 11:50:00,42
2012-09-27 11:40:00,51
2012-10-01 12:35:00,30
2012-10-04 09:00:00,49
2012-10-08 11:55:00,9
2012-10-11 11:30:00,9
2012-10-15 12:30:00,33
2012-10-18 00:00:00,29
2012-10-22 14:20:00,24
2012-10-25 10:05:00,10
2012-10-29 13:40:00,93
2012-11-02 10:02:00,22
2012-11-05 12:10:00,12
2012-11-07 09:00:00,31
2012-11-12 14:31:00,31
2012-11-15 13:45:00,13
2012-11-19 09:05:00,9
2012-11-22 10:00:00,17
2012-11-26 09:35:00,38
2012-11-30 08:50:00,32
2012-12-03 13:00:00,11
2012-12-06 09:40:00,22
2012-12-10 14:32:00,9
2012-12-13 00:00:00,10
2012-12-17 14:12:00,13
2012-12-19 10:55:00,12
2012-12-20 10:06:00,11
2012-12-25 07:15:00,20
2012-12-27 10:18:00,21
2013-01-01 11:15:00,100
2013-01-03 09:50:00,30
2013-01-07 13:15:00,15
2013-01-09 13:09:00,41
2013-01-14 13:55:00,4
2013-01-21 13:45:00,13
2013-01-25 09:05:00,13
2013-01-28 14:45:00,23
2013-01-31 10:50:00,18
2013-02-04 14:25:00,10
2013-02-08 09:10:00,3
2013-02-11 14:15:00,10
2013-02-12 09:30:00,3
2013-02-14 10:50:00,10
