Model,MAE,SMAPE,RMSE,R2
LASSO,81.19575226603331,44.399405934862706,129.93434078046076,0.5305124388296334
RF,48.92614742287325,29.038646573248965,83.91478824237646,0.8041817335357266
TPOT,45.91739426615119,25.076470564247327,79.11080439929657,0.8259605122056476
