timestamp,colifast_LAE
2012-04-07 19:20:00,100
2012-04-08 09:20:00,<50
2012-04-08 19:20:00,<50
2012-04-09 09:20:00,<50
2012-04-09 19:20:00,50
2012-04-10 09:20:00,<50
2012-04-10 19:20:00,<50
2012-04-11 09:20:00,50
2012-04-11 19:20:00,>400
2012-04-12 09:20:00,200
2012-04-12 19:20:00,<50
2012-04-13 09:20:00,50
2012-04-13 19:20:00,<50
2012-04-14 09:20:00,<50
2012-04-14 19:20:00,<50
2012-04-15 09:20:00,<50
2012-04-15 19:20:00,<50
2012-04-16 09:20:00,<50
2012-04-16 19:20:00,50
2012-04-17 09:20:00,<50
2012-04-17 19:20:00,50
2012-04-18 09:20:00,<50
2012-04-18 19:20:00,<50
2012-04-19 09:20:00,<50
2012-04-19 19:20:00,<50
2012-04-20 09:20:00,50
2012-04-20 19:20:00,<50
2012-04-21 09:20:00,<50
2012-04-21 19:20:00,100
2012-04-22 09:20:00,200
2012-04-22 19:20:00,<50
2012-04-23 09:20:00,200
2012-04-23 19:20:00,100
2012-04-24 09:20:00,<50
2012-04-24 19:20:00,50
2012-04-25 09:20:00,<50
2012-04-25 19:20:00,<50
2012-04-26 09:20:00,<50
2012-04-26 19:20:00,<50
2012-04-27 09:20:00,<50
2012-04-27 19:20:00,<50
2012-04-28 09:20:00,<50
2012-04-28 19:20:00,<50
2012-04-29 09:20:00,50
2012-04-29 19:20:00,<50
2012-04-30 09:20:00,50
2012-04-30 19:20:00,<50
2012-05-01 09:20:00,<50
2012-05-01 19:20:00,<50
2012-05-02 09:20:00,<50
2012-05-03 10:56:00,<50
2012-05-03 20:49:00,<50
2012-05-04 10:49:00,<50
2012-05-04 20:49:00,<50
2012-05-05 10:49:00,<50
2012-05-05 20:49:00,50
2012-05-06 10:49:00,50
2012-05-06 20:49:00,<50
2012-05-07 10:49:00,<50
2012-05-07 20:49:00,<50
2012-05-08 10:49:00,<50
2012-05-08 20:49:00,<50
2012-05-09 10:49:00,50
2012-05-09 20:49:00,50
2012-05-10 10:49:00,<50
2012-05-10 20:49:00,50
2012-05-11 10:49:00,100
2012-05-11 20:49:00,200
2012-05-12 10:49:00,100
2012-05-12 20:49:00,<50
2012-05-13 10:49:00,50
2012-05-13 20:49:00,<50
2012-05-14 10:49:00,50
2012-05-14 20:49:00,<50
2012-05-15 10:49:00,50
2012-05-15 20:49:00,<50
2012-05-16 10:49:00,<50
2012-05-19 01:35:00,<50
2012-05-19 15:21:00,<50
2012-05-19 17:07:00,<50
2012-05-19 19:57:00,<50
2012-05-20 09:57:00,<50
2012-05-20 19:57:00,<50
2012-05-21 09:57:00,<50
2012-05-21 19:57:00,<50
2012-05-22 09:57:00,<50
2012-05-22 19:57:00,<50
2012-05-23 09:57:00,<50
2012-05-23 19:57:00,<50
2012-05-24 09:57:00,<50
2012-05-24 19:57:00,<50
2012-05-25 09:57:00,<50
2012-05-25 19:57:00,<50
2012-05-26 09:57:00,<50
2012-05-26 19:57:00,<50
2012-05-27 09:57:00,<50
2012-05-27 19:57:00,<50
2012-05-28 09:57:00,<50
2012-05-28 19:57:00,100
2012-05-29 09:57:00,<50
2012-05-29 19:57:00,<50
2012-05-30 14:31:00,<50
2012-05-31 00:24:00,50
2012-05-31 14:24:00,<50
2012-06-01 00:24:00,<50
2012-06-01 14:24:00,50
2012-06-02 00:24:00,<50
2012-06-02 14:24:00,<50
2012-06-03 00:24:00,<50
2012-06-03 14:24:00,<50
2012-06-04 00:24:00,<50
2012-06-04 14:24:00,<50
2012-06-05 00:24:00,50
2012-06-05 14:24:00,<50
2012-06-06 00:24:00,50
2012-06-06 14:24:00,<50
2012-06-07 00:24:00,50
2012-06-07 14:24:00,<50
2012-06-08 00:24:00,50
2012-06-08 14:24:00,<50
2012-06-09 00:24:00,<50
2012-06-09 14:24:00,50
2012-06-10 00:24:00,<50
2012-06-10 14:24:00,<50
2012-06-11 00:24:00,<50
2012-06-11 14:24:00,<50
2012-06-12 00:24:00,<50
2012-06-12 14:24:00,50
2012-06-13 00:24:00,100
2012-06-13 14:24:00,50
2012-06-14 00:24:00,100
2012-06-14 14:24:00,50
2012-06-15 00:24:00,<50
2012-06-15 14:24:00,100
2012-06-16 00:24:00,50
2012-06-16 14:24:00,<50
2012-06-17 00:24:00,<50
2012-06-17 14:24:00,<50
2012-06-18 00:24:00,100
2012-06-18 14:24:00,<50
2012-06-19 00:24:00,100
2012-06-19 14:24:00,50
2012-06-20 00:24:00,<50
2012-06-20 14:24:00,<50
2012-06-21 00:24:00,50
2012-06-21 14:24:00,<50
2012-06-22 00:24:00,<50
2012-06-22 14:24:00,<50
2012-06-23 00:24:00,<50
2012-06-23 14:24:00,<50
2012-06-24 00:24:00,<50
2012-06-24 14:24:00,<50
2012-06-25 00:24:00,50
2012-06-25 14:24:00,<50
2012-06-26 00:24:00,100
2012-06-26 14:24:00,400
2012-06-26 23:24:00,200
2012-06-28 15:10:00,100
2012-06-29 01:06:00,100
2012-06-29 15:06:00,50
2012-06-30 01:06:00,<50
2012-06-30 15:06:00,<50
2012-07-01 01:06:00,50
2012-07-01 15:06:00,50
2012-07-02 01:06:00,50
2012-07-02 15:06:00,100
2012-07-03 01:06:00,<50
2012-07-03 15:06:00,<50
2012-07-04 01:06:00,<50
2012-07-04 15:06:00,50
2012-07-05 01:06:00,<50
2012-07-05 15:06:00,>400
2012-07-06 01:06:00,<50
2012-07-06 15:06:00,>400
2012-07-07 01:06:00,100
2012-07-07 15:06:00,>400
2012-07-08 01:06:00,400
2012-07-08 15:06:00,>400
2012-07-09 01:06:00,50
2012-07-09 15:06:00,>400
2012-07-10 01:06:00,50
2012-07-10 15:06:00,>400
2012-07-19 00:00:00,100
2012-07-24 09:14:00,<50
2012-07-24 19:14:00,<50
2012-07-25 09:14:00,50
2012-07-25 19:14:00,<50
2012-07-26 09:14:00,<50
2012-07-26 19:14:00,<50
2012-07-27 09:14:00,<50
2012-07-27 19:14:00,50
2012-07-28 09:14:00,<50
2012-07-28 19:14:00,100
2012-07-29 09:14:00,200
2012-07-29 19:14:00,400
2012-07-30 09:14:00,400
2012-07-30 19:14:00,100
2012-07-31 09:14:00,100
2012-07-31 19:14:00,100
2012-08-01 09:14:00,100
2012-08-01 19:14:00,100
2012-08-02 09:14:00,100
2012-08-02 19:14:00,<50
2012-08-03 09:14:00,50
2012-08-03 19:14:00,200
2012-08-04 09:14:00,400
2012-08-04 19:14:00,200
2012-08-05 09:14:00,200
2012-08-05 19:14:00,50
2012-08-06 09:14:00,100
2012-08-06 19:14:00,400
2012-08-07 09:14:00,100
2012-08-07 19:14:00,400
