timestamp,ecoli_SN
2012-01-04 10:55:00,370
2012-01-18 11:35:00,240
2012-02-01 13:00:00,170
2012-02-15 12:25:00,52
2012-02-29 13:40:00,120
2012-03-14 12:10:00,63
2012-03-28 11:40:00,4
2012-04-11 12:20:00,290
2012-04-27 11:30:00,52
2012-05-10 08:20:00,260
2012-06-07 13:11:00,120
2012-06-21 07:55:00,63
2012-07-05 08:10:00,74
2012-07-19 08:25:00,20
2012-08-01 10:27:00,97
2012-08-15 12:35:00,3
2012-08-29 12:00:00,41
2012-09-13 13:30:00,160
2012-09-27 13:30:00,910
2012-10-11 08:20:00,130
2012-10-25 08:30:00,52
2012-11-07 07:50:00,98
2012-11-22 09:00:00,52
2012-12-06 08:12:00,63
2012-12-20 08:15:00,160
2013-01-03 08:11:00,470
2013-01-18 09:25:00,75
2013-01-31 11:45:00,320
2013-02-14 08:25:00,110
2013-02-28 11:40:00,31
2013-03-14 08:10:00,31
2013-03-28 07:58:00,97
2013-04-11 09:26:00,52
2013-04-25 08:55:00,200
2013-05-10 08:16:00,74
2013-05-23 10:25:00,110
2013-06-07 07:59:00,110
2013-06-20 07:50:00,20
2013-07-04 08:15:00,39
2013-07-18 08:20:00,10
2013-08-01 12:15:00,39
2013-08-16 08:19:00,86
2013-08-29 07:30:00,10
2013-09-12 08:45:00,160
2013-09-26 09:00:00,120
2013-10-10 08:35:00,90
2013-10-24 08:40:00,360
2013-11-07 08:30:00,530
2013-11-21 09:05:00,97
2013-12-05 08:30:00,160
2013-12-19 08:00:00,340
2014-01-03 09:25:00,170
2014-01-17 08:00:00,110
2014-01-30 08:45:00,110
2014-02-13 07:50:00,230
2014-02-27 08:43:00,170
2014-03-13 09:00:00,52
2014-03-27 08:00:00,120
2014-04-10 07:55:00,580
2014-04-24 08:25:00,95
2014-05-08 11:05:00,74
2014-05-22 08:40:00,41
2014-06-05 09:12:00,52
2014-06-19 08:20:00,10
2014-07-03 11:20:00,160
2014-07-17 08:45:00,20
2014-07-31 08:05:00,20
2014-08-14 10:30:00,130
2014-08-28 08:15:00,86
2014-09-11 07:55:00,63
2014-09-25 08:37:00,52
2014-10-09 09:15:00,74
2014-10-23 08:20:00,200
2014-11-06 10:50:00,440
2014-11-20 11:35:00,120
2014-12-04 08:50:00,60
2014-12-17 11:50:00,600
2015-01-02 09:50:00,2000
2015-01-15 11:35:00,280
2015-01-29 09:20:00,330
2015-02-12 09:30:00,74
2015-02-26 08:50:00,63
2015-03-12 09:10:00,110
2015-03-26 10:55:00,130
2015-04-09 08:57:00,63
2015-04-23 08:10:00,74
2015-05-07 09:40:00,170
2015-05-21 15:10:00,10
2015-06-04 07:55:00,170
2015-06-18 09:20:00,10
2015-07-02 09:40:00,41
2015-07-16 10:15:00,52
2015-07-30 08:35:00,200
2015-08-13 08:54:00,74
2015-08-27 09:40:00,98
2015-09-11 09:20:00,74
2015-09-24 10:35:00,290
2015-10-08 08:50:00,10
2015-10-23 10:00:00,240
2015-11-05 10:58:00,41
2015-11-19 09:46:00,140
2015-12-03 08:40:00,410
2015-12-17 11:20:00,110
2015-12-30 11:16:00,190
2016-01-14 09:00:00,120
2016-02-11 08:50:00,360
2016-02-25 11:50:00,52
2016-03-10 09:00:00,110
2016-03-24 10:37:00,10
2016-04-07 10:10:00,460
2016-04-21 09:20:00,31
2016-05-04 10:50:00,31
2016-05-19 11:45:00,52
2016-06-02 10:00:00,10
2016-06-16 09:40:00,110
2016-06-30 12:45:00,63
2016-07-14 11:10:00,110
2016-07-28 09:50:00,52
2016-08-11 11:10:00,52
2016-08-25 08:20:00,28
2016-09-08 10:15:00,97
2016-09-22 08:55:00,40
2016-10-06 08:50:00,85
2016-10-20 12:50:00,280
2016-11-01 09:30:00,110
2016-11-17 14:30:00,780
2016-12-01 00:00:00,410
2016-12-14 16:00:00,160
2016-12-28 12:45:00,550
2017-01-12 12:55:00,580
2017-01-26 14:30:00,140
2017-02-08 14:20:00,160
2017-02-23 12:00:00,470
2017-03-09 10:40:00,85
2017-03-23 08:50:00,210
2017-04-07 09:00:00,80
2017-04-20 10:45:00,30
2017-05-04 11:40:00,31
2017-05-22 00:00:00,10
2017-06-01 10:45:00,160
2017-06-15 09:25:00,41
2017-07-13 11:08:00,1
2017-07-27 10:46:00,20
2017-08-10 11:29:00,98
2017-08-25 10:58:00,200
2017-09-08 07:45:00,550
2017-09-22 12:32:00,260
2017-10-05 11:50:00,460
2017-10-19 08:55:00,23
2017-11-02 13:05:00,52
2017-11-16 09:35:00,160
2017-11-30 09:45:00,97
2017-12-14 13:35:00,260
2017-12-28 11:15:00,480
2018-01-11 11:30:00,86
2018-01-17 10:00:00,320
2018-01-25 11:25:00,400
2018-02-09 11:30:00,160
