SampleID,Location,Date,Escherichia_coli_per100ml
R1200433-19,GÄVGAXXS,2012-04-11 22:38,400
R1200433-20,GÄVGAXXS,2012-04-12 12:38,50
R1200433-21,GÄVGAXXS,2012-04-12 22:38,50
R1200433-22,GÄVGAXXS,2012-04-13 12:38,100
R1200433-23,GÄVGAXXS,2012-04-13 22:38,<50
R1200433-24,GÄVGAXXS,2012-04-14 12:38,50
R1200433-25,GÄVGAXXS,2012-04-14 22:38,200
R1200433-26,GÄVGAXXS,2012-04-15 12:38,<50
R1200433-27,GÄVGAXXS,2012-04-15 22:38,50
R1200433-28,GÄVGAXXS,2012-04-16 12:38,50
R1200433-29,GÄVGAXXS,2012-04-16 22:38,<50
R1200433-30,GÄVGAXXS,2012-04-17 12:38,200
R1200433-31,GÄVGAXXS,2012-04-17 22:38,100
R1200433-32,GÄVGAXXS,2012-04-18 12:38,<50
R1200433-33,GÄVGAXXS,2012-04-18 22:38,50
R1200433-34,GÄVGAXXS,2012-04-19 12:38,100
R1200514-00,GÄVGAXXS,2012-05-02 14:20,<50
R1200514-01,GÄVGAXXS,2012-05-03 00:14,<50
R1200514-02,GÄVGAXXS,2012-05-03 14:14,<50
R1200514-03,GÄVGAXXS,2012-05-04 00:14,50
R1200514-04,GÄVGAXXS,2012-05-04 14:14,100
R1200514-05,GÄVGAXXS,2012-05-05 00:14,200
R1200514-06,GÄVGAXXS,2012-05-05 14:14,400
R1200514-07,GÄVGAXXS,2012-05-06 00:14,<50
R1200514-08,GÄVGAXXS,2012-05-06 14:14,200
R1200514-09,GÄVGAXXS,2012-05-07 00:14,<50
R1200514-10,GÄVGAXXS,2012-05-07 14:14,<50
R1200514-11,GÄVGAXXS,2012-05-08 00:14,<50
R1200514-12,GÄVGAXXS,2012-05-08 14:14,50
R1200514-13,GÄVGAXXS,2012-05-09 00:14,<50
R1200514-14,GÄVGAXXS,2012-05-09 14:14,400
R1200514-15,GÄVGAXXS,2012-05-10 00:14,100
R1200514-16,GÄVGAXXS,2012-05-10 14:14,50
R1200514-17,GÄVGAXXS,2012-05-11 00:14,>400
R1200514-18,GÄVGAXXS,2012-05-11 14:14,200
R1200514-19,GÄVGAXXS,2012-05-12 00:14,400
R1200514-20,GÄVGAXXS,2012-05-12 14:14,400
R1200514-21,GÄVGAXXS,2012-05-13 00:14,400
R1200514-22,GÄVGAXXS,2012-05-13 14:14,50
R1200514-23,GÄVGAXXS,2012-05-14 00:14,100
R1200514-24,GÄVGAXXS,2012-05-14 14:14,100
R1200514-25,GÄVGAXXS,2012-05-15 00:14,100
R1200514-26,GÄVGAXXS,2012-05-15 14:14,50
R1200514-27,GÄVGAXXS,2012-05-16 00:14,100
R1200514-28,GÄVGAXXS,2012-05-16 14:14,400
R1200514-29,GÄVGAXXS,2012-05-17 00:14,400
R1200514-30,GÄVGAXXS,2012-05-17 14:14,100
R1200514-31,GÄVGAXXS,2012-05-18 00:14,50
R1200514-32,GÄVGAXXS,2012-05-18 14:14,100
R1200514-33,GÄVGAXXS,2012-05-19 00:14,<50
R1200514-34,GÄVGAXXS,2012-05-19 14:14,50
R1200514-35,GÄVGAXXS,2012-05-20 00:14,50
R1200514-36,GÄVGAXXS,2012-05-20 14:14,100
R1200514-37,GÄVGAXXS,2012-05-21 00:14,100
R1200514-38,GÄVGAXXS,2012-05-21 14:14,<50
R1200514-39,GÄVGAXXS,2012-05-22 00:14,50
R1200514-40,GÄVGAXXS,2012-05-22 14:14,200
R1200514-41,GÄVGAXXS,2012-05-23 00:14,50
R1200514-42,GÄVGAXXS,2012-05-23 14:14,100
R1200514-43,GÄVGAXXS,2012-05-24 00:14,50
R1200514-44,GÄVGAXXS,2012-05-24 14:14,200
R1200513-00,GÄVGAXXS,2012-05-25 14:55,<50
R1200513-01,GÄVGAXXS,2012-05-26 00:48,100
R1200513-02,GÄVGAXXS,2012-05-26 14:48,200
R1200513-03,GÄVGAXXS,2012-05-27 00:48,50
R1200513-04,GÄVGAXXS,2012-05-27 14:48,50
R1200513-05,GÄVGAXXS,2012-05-28 00:48,50
R1200513-06,GÄVGAXXS,2012-05-28 14:48,100
R1200513-07,GÄVGAXXS,2012-05-29 00:48,100
R1200515-00,GÄVGAXXS,2012-05-29 18:15,100
R1200515-01,GÄVGAXXS,2012-05-30 04:09,100
R1200515-02,GÄVGAXXS,2012-05-30 18:09,100
R1200515-03,GÄVGAXXS,2012-05-31 04:09,50
R1200515-04,GÄVGAXXS,2012-05-31 18:09,200
R1200515-05,GÄVGAXXS,2012-06-01 04:09,50
R1200515-06,GÄVGAXXS,2012-06-01 18:09,<50
R1200515-07,GÄVGAXXS,2012-06-02 04:09,400
R1200515-08,GÄVGAXXS,2012-06-02 18:09,50
R1200515-09,GÄVGAXXS,2012-06-03 04:09,200
R1200515-10,GÄVGAXXS,2012-06-03 18:09,<50
R1200515-11,GÄVGAXXS,2012-06-04 04:09,50
R1200515-12,GÄVGAXXS,2012-06-04 18:09,200
R1200515-13,GÄVGAXXS,2012-06-05 04:09,100
R1200515-14,GÄVGAXXS,2012-06-05 18:09,200
R1200515-15,GÄVGAXXS,2012-06-06 04:09,400
R1200515-16,GÄVGAXXS,2012-06-06 18:09,200
R1200515-17,GÄVGAXXS,2012-06-07 04:09,<50
R1200515-18,GÄVGAXXS,2012-06-07 18:09,50
R1200515-19,GÄVGAXXS,2012-06-08 04:09,50
R1200515-20,GÄVGAXXS,2012-06-08 18:09,400
R1200515-21,GÄVGAXXS,2012-06-09 04:09,>400
R1200515-22,GÄVGAXXS,2012-06-09 18:09,<50
R1200515-23,GÄVGAXXS,2012-06-10 04:09,200
R1200515-24,GÄVGAXXS,2012-06-10 18:09,200
R1200515-25,GÄVGAXXS,2012-06-11 04:09,100
R1200515-26,GÄVGAXXS,2012-06-11 18:09,200
R1200515-27,GÄVGAXXS,2012-06-12 04:09,200
R1200515-28,GÄVGAXXS,2012-06-12 18:09,50
R1200515-29,GÄVGAXXS,2012-06-13 04:09,100
R1200515-30,GÄVGAXXS,2012-06-13 18:09,100
R1200515-31,GÄVGAXXS,2012-06-14 04:09,>400
R1200515-32,GÄVGAXXS,2012-06-14 18:09,100
R1200515-33,GÄVGAXXS,2012-06-15 04:09,50
R1200515-34,GÄVGAXXS,2012-06-15 18:09,50
R1200515-35,GÄVGAXXS,2012-06-16 04:09,50
R1200515-36,GÄVGAXXS,2012-06-16 18:09,200
R1200515-37,GÄVGAXXS,2012-06-17 04:09,100
R1200515-38,GÄVGAXXS,2012-06-17 18:09,<50
R1200515-39,GÄVGAXXS,2012-06-18 04:09,100
R1200515-40,GÄVGAXXS,2012-06-18 18:09,100
R1200515-41,GÄVGAXXS,2012-06-19 04:09,50
R1200515-42,GÄVGAXXS,2012-06-19 18:09,<50
R1200515-43,GÄVGAXXS,2012-06-20 04:09,<50
R1200515-44,GÄVGAXXS,2012-06-20 18:09,<50
