Location,Date,Coliforms_/100ml,E. coli_/100ml,Clostridia_/100ml,EnterococciMF_/100ml,EnterococciMPN_/100ml,Coliphages_/100ml,Turbidity_FNU,Conductivity_mS/m,Temperature_C,Colour_mg/lPt,Colour410nm_mg/lPt
GÄVGAXXS,2012-01-02 10:44,770,190,16,NA,NA,NA,NA,NA,4.7,NA,NA
GÄVGAXXS,2012-01-04 10:32,1400,520,20,NA,NA,NA,NA,NA,4.7,NA,NA
GÄVGAXXS,2012-01-05 09:45,1500,530,50,NA,NA,NA,NA,NA,4.5,NA,NA
GÄVGAXXS,2012-01-09 10:00,340,63,5,NA,NA,NA,NA,NA,3.5,NA,NA
GÄVGAXXS,2012-01-11 14:27,3400,210,28,NA,NA,NA,NA,NA,3.5,NA,NA
GÄVGAXXS,2012-01-12 09:00,NA,NA,NA,NA,NA,NA,18,8.7,NA,NA,NA
GÄVGAXXS,2012-01-13 11:30,2000,680,63,NA,NA,NA,NA,NA,3.5,NA,NA
GÄVGAXXS,2012-01-14 12:55,1200,440,NA,NA,NA,NA,NA,NA,2.9,NA,NA
GÄVGAXXS,2012-01-16 14:12,560,250,16,NA,NA,NA,NA,NA,2.7,NA,NA
GÄVGAXXS,2012-01-17 13:10,NA,NA,NA,NA,NA,NA,NA,NA,2.5,NA,NA
GÄVGAXXS,2012-01-18 12:05,450,140,7,NA,NA,NA,NA,NA,2.5,NA,NA
GÄVGAXXS,2012-01-20 11:10,1200,150,19,NA,NA,NA,NA,NA,2.3,NA,NA
GÄVGAXXS,2012-01-23 13:25,590,240,15,NA,NA,NA,NA,NA,2.1,NA,NA
GÄVGAXXS,2012-01-25 09:05,350,98,7,NA,NA,NA,NA,NA,1.8,NA,NA
GÄVGAXXS,2012-01-27 09:30,1300,440,33,NA,NA,NA,NA,NA,1.4,NA,NA
GÄVGAXXS,2012-01-30 12:30,1200,160,14,NA,NA,NA,NA,NA,1.6,NA,NA
GÄVGAXXS,2012-02-01 13:30,610,150,12,NA,NA,NA,NA,NA,1.1,NA,NA
GÄVGAXXS,2012-02-03 08:30,290,74,16,NA,NA,NA,NA,NA,0.5,NA,NA
GÄVGAXXS,2012-02-06 09:53,170,63,12,NA,NA,NA,NA,NA,0.4,NA,NA
GÄVGAXXS,2012-02-08 10:15,140,63,13,NA,NA,NA,NA,NA,0.5,NA,NA
GÄVGAXXS,2012-02-09 08:45,NA,NA,NA,NA,NA,NA,6.7,8.7,NA,NA,NA
GÄVGAXXS,2012-02-10 11:50,460,160,9,NA,NA,NA,NA,NA,0.6,NA,NA
GÄVGAXXS,2012-02-13 13:15,470,110,14,NA,NA,NA,NA,NA,0.6,NA,NA
GÄVGAXXS,2012-02-14 14:50,320,150,NA,NA,NA,NA,7.2,NA,0.7,NA,NA
GÄVGAXXS,2012-02-15 12:55,960,200,15,NA,NA,NA,NA,NA,0.5,NA,NA
GÄVGAXXS,2012-02-17 11:00,1300,85,17,NA,NA,NA,NA,NA,0.4,NA,NA
GÄVGAXXS,2012-02-20 13:45,440,250,17,NA,NA,NA,NA,NA,0.7,NA,NA
GÄVGAXXS,2012-02-22 12:20,1000,230,13,NA,NA,NA,NA,NA,1.1,NA,NA
GÄVGAXXS,2012-02-24 11:05,3300,330,22,NA,NA,NA,NA,NA,1.7,NA,NA
GÄVGAXXS,2012-02-27 13:50,1500,74,11,NA,NA,NA,NA,NA,1.5,NA,NA
GÄVGAXXS,2012-02-29 13:05,330,85,6,NA,NA,NA,NA,NA,2.2,NA,NA
GÄVGAXXS,2012-03-02 14:45,200,74,5,NA,NA,NA,NA,NA,2.6,NA,NA
GÄVGAXXS,2012-03-05 11:55,2400,41,8,NA,NA,NA,NA,NA,2.2,NA,NA
GÄVGAXXS,2012-03-07 11:35,390,52,16,NA,NA,8,NA,NA,2.3,NA,NA
GÄVGAXXS,2012-03-08 13:40,NA,NA,NA,NA,NA,NA,3.4,8.5,NA,NA,NA
GÄVGAXXS,2012-03-09 13:50,910,170,17,NA,NA,NA,NA,NA,2.1,NA,NA
GÄVGAXXS,2012-03-12 14:20,200,41,13,NA,NA,NA,NA,NA,3.4,NA,NA
GÄVGAXXS,2012-03-13 12:05,NA,NA,NA,NA,NA,NA,NA,NA,2.8,NA,NA
GÄVGAXXS,2012-03-14 11:00,220,86,14,NA,NA,13,NA,NA,3.3,NA,NA
GÄVGAXXS,2012-03-16 11:10,110,52,5,NA,NA,NA,NA,NA,2.8,NA,NA
GÄVGAXXS,2012-03-19 13:40,360,110,11,NA,NA,NA,NA,NA,4.2,NA,NA
GÄVGAXXS,2012-03-21 11:30,410,31,5,NA,NA,1,NA,NA,4.4,NA,NA
GÄVGAXXS,2012-03-23 11:00,1400,63,10,NA,NA,NA,NA,NA,4.7,NA,NA
GÄVGAXXS,2012-03-26 13:20,4100,52,10,NA,NA,NA,NA,NA,5.2,NA,NA
GÄVGAXXS,2012-03-28 10:40,880,52,7,NA,NA,16,NA,NA,5.3,NA,NA
GÄVGAXXS,2012-03-30 08:20,440,86,8,NA,NA,NA,NA,NA,5.7,NA,NA
GÄVGAXXS,2012-04-02 12:31,570,150,26,NA,NA,NA,NA,NA,5.1,NA,NA
GÄVGAXXS,2012-04-04 11:30,1000,52,9,NA,NA,5,NA,NA,4.7,NA,NA
GÄVGAXXS,2012-04-05 08:50,610,98,10,NA,NA,NA,3.5,8.5,4.8,NA,NA
GÄVGAXXS,2012-04-09 10:55,1900,110,19,NA,NA,NA,NA,NA,5,NA,NA
GÄVGAXXS,2012-04-11 11:45,1400,250,26,NA,NA,21,NA,NA,5,NA,NA
GÄVGAXXS,2012-04-13 11:00,1300,86,20,NA,NA,NA,NA,NA,5.2,NA,NA
GÄVGAXXS,2012-04-16 13:20,910,84,12,NA,NA,NA,NA,NA,5.9,NA,NA
GÄVGAXXS,2012-04-20 08:55,760,74,18,NA,NA,3,NA,NA,5.5,NA,NA
GÄVGAXXS,2012-04-23 13:00,1100,420,32,NA,NA,21,NA,NA,6.2,NA,NA
GÄVGAXXS,2012-04-24 13:30,NA,NA,NA,NA,NA,NA,NA,NA,6.2,NA,NA
GÄVGAXXS,2012-04-27 10:20,990,120,23,NA,NA,NA,NA,NA,6.9,NA,NA
GÄVGAXXS,2012-04-30 14:35,430,31,20,NA,NA,11,NA,NA,8.8,NA,NA
GÄVGAXXS,2012-05-02 13:35,570,75,13,NA,NA,NA,NA,NA,9.5,NA,NA
GÄVGAXXS,2012-05-04 09:48,710,110,23,NA,NA,NA,2.3,8.6,10.1,NA,NA
GÄVGAXXS,2012-05-07 13:30,330,110,6,NA,NA,2,NA,NA,9.3,NA,NA
GÄVGAXXS,2012-05-10 09:45,410,220,18,NA,NA,NA,NA,NA,9.8,NA,NA
GÄVGAXXS,2012-05-14 12:30,610,140,21,NA,NA,7,NA,NA,9.6,NA,NA
GÄVGAXXS,2012-05-15 11:50,NA,NA,NA,NA,NA,NA,NA,NA,9.3,NA,NA
GÄVGAXXS,2012-05-18 08:20,760,200,18,NA,NA,NA,NA,NA,9.3,NA,NA
GÄVGAXXS,2012-05-21 13:09,340,150,30,NA,NA,18,NA,NA,11.2,NA,NA
GÄVGAXXS,2012-05-24 10:35,360,86,12,NA,NA,NA,NA,NA,12.5,NA,NA
GÄVGAXXS,2012-05-28 15:28,380,74,10,NA,NA,3,NA,NA,16.6,NA,NA
GÄVGAXXS,2012-05-31 13:30,370,130,17,NA,NA,NA,NA,NA,14,NA,NA
GÄVGAXXS,2012-06-04 14:45,440,130,15,NA,NA,4,NA,NA,13.5,NA,NA
GÄVGAXXS,2012-06-07 11:45,320,120,9,NA,NA,NA,3.8,NA,14,NA,NA
GÄVGAXXS,2012-06-11 13:07,2600,310,33,NA,NA,NA,NA,NA,14.9,NA,NA
GÄVGAXXS,2012-06-14 09:30,790,140,14,NA,NA,11,3.7,8.6,14.7,NA,NA
GÄVGAXXS,2012-06-18 16:08,1000,290,9,NA,NA,5,NA,NA,15.4,NA,NA
GÄVGAXXS,2012-06-19 13:15,NA,NA,NA,NA,NA,NA,NA,NA,14.9,NA,NA
GÄVGAXXS,2012-06-21 09:00,530,74,7,NA,NA,NA,NA,NA,14.4,NA,NA
GÄVGAXXS,2012-06-25 15:07,12000,1600,70,NA,NA,150,NA,NA,15.2,NA,NA
GÄVGAXXS,2012-06-28 11:45,3900,300,31,NA,NA,60,NA,NA,15.2,NA,NA
GÄVGAXXS,2012-07-02 13:43,2100,160,20,NA,NA,51,NA,NA,16.1,NA,NA
GÄVGAXXS,2012-07-05 09:10,880,31,13,NA,NA,NA,NA,NA,15.8,NA,NA
GÄVGAXXS,2012-07-09 14:39,650,31,9,NA,NA,19,NA,NA,17.9,NA,NA
GÄVGAXXS,2012-07-10 10:10,NA,NA,NA,NA,NA,NA,NA,NA,17.7,NA,NA
GÄVGAXXS,2012-07-12 09:00,2600,200,32,NA,NA,NA,7.2,8.8,16.8,NA,NA
GÄVGAXXS,2012-07-16 14:30,370,41,10,NA,NA,9,NA,NA,17.5,NA,NA
GÄVGAXXS,2012-07-19 09:25,350,74,8,NA,NA,NA,NA,NA,16.1,NA,NA
GÄVGAXXS,2012-07-23 14:10,230,50,15,NA,NA,4,NA,NA,15.4,NA,NA
GÄVGAXXS,2012-07-26 09:34,300,74,5,NA,NA,NA,NA,NA,15.4,NA,NA
GÄVGAXXS,2012-07-30 14:14,2000,74,17,NA,NA,9,NA,NA,17.4,NA,NA
GÄVGAXXS,2012-08-01 10:55,650,63,12,NA,NA,NA,NA,NA,16.2,NA,NA
GÄVGAXXS,2012-08-03 12:30,14000,730,39,NA,NA,NA,NA,NA,15.9,NA,NA
GÄVGAXXS,2012-08-04 13:50,6700,500,NA,NA,NA,NA,NA,NA,16.8,NA,NA
GÄVGAXXS,2012-08-05 13:00,3700,200,NA,NA,NA,NA,NA,NA,17.4,NA,NA
GÄVGAXXS,2012-08-06 13:42,1900,200,12,NA,NA,25,NA,NA,17.4,NA,NA
GÄVGAXXS,2012-08-07 13:30,7700,300,18,NA,NA,NA,NA,NA,17.1,NA,NA
GÄVGAXXS,2012-08-08 10:25,6100,57,27,NA,NA,NA,NA,NA,16.5,NA,NA
GÄVGAXXS,2012-08-09 08:55,5800,300,46,NA,NA,NA,NA,NA,16.2,NA,NA
GÄVGAXXS,2012-08-10 08:50,2000,220,21,NA,NA,NA,NA,NA,16.2,NA,NA
GÄVGAXXS,2012-08-11 14:20,910,240,NA,NA,NA,NA,NA,NA,17.3,NA,NA
GÄVGAXXS,2012-08-12 13:00,580,74,NA,NA,NA,NA,NA,NA,17.5,NA,NA
GÄVGAXXS,2012-08-13 14:15,710,160,18,NA,NA,21,NA,NA,17.4,NA,NA
GÄVGAXXS,2012-08-14 12:05,650,140,NA,NA,NA,NA,3.4,NA,17.5,NA,NA
GÄVGAXXS,2012-08-15 13:05,460,41,8,NA,NA,NA,NA,NA,17.9,NA,NA
GÄVGAXXS,2012-08-17 13:00,640,51,7,NA,NA,NA,NA,NA,18.3,NA,NA
GÄVGAXXS,2012-08-20 12:35,670,97,6,NA,NA,36,NA,NA,18.6,NA,NA
GÄVGAXXS,2012-08-22 09:05,600,86,7,NA,NA,NA,NA,NA,18.6,NA,NA
GÄVGAXXS,2012-08-24 07:30,1000,86,9,NA,NA,NA,NA,NA,17.8,NA,NA
GÄVGAXXS,2012-08-27 12:50,620,52,4,NA,NA,NA,NA,NA,17.8,NA,NA
GÄVGAXXS,2012-08-29 11:25,620,250,3,NA,NA,NA,NA,NA,17.4,NA,NA
GÄVGAXXS,2012-08-31 09:15,630,63,3,NA,NA,NA,NA,NA,16.9,NA,NA
GÄVGAXXS,2012-09-03 12:15,430,20,7,NA,NA,NA,NA,NA,16.8,NA,NA
GÄVGAXXS,2012-09-05 08:05,470,63,10,NA,NA,5,NA,NA,16.4,NA,NA
GÄVGAXXS,2012-09-07 12:10,2000,170,22,NA,NA,NA,NA,NA,15.8,NA,NA
GÄVGAXXS,2012-09-10 13:25,460,31,7,NA,NA,20,NA,NA,15.7,NA,NA
GÄVGAXXS,2012-09-11 13:30,NA,NA,NA,NA,NA,NA,NA,NA,15.6,NA,NA
GÄVGAXXS,2012-09-13 12:05,1300,120,8,NA,NA,NA,NA,NA,15.2,NA,NA
GÄVGAXXS,2012-09-17 12:35,16000,910,50,NA,NA,250,NA,NA,14.5,NA,NA
GÄVGAXXS,2012-09-19 09:20,4100,110,32,NA,NA,NA,NA,NA,14.1,NA,NA
GÄVGAXXS,2012-09-24 11:50,2700,240,42,NA,NA,55,NA,NA,11.9,NA,NA
GÄVGAXXS,2012-09-27 11:40,8700,990,51,NA,NA,NA,NA,NA,11.7,NA,NA
GÄVGAXXS,2012-10-01 12:35,3900,510,30,NA,NA,6,NA,NA,12.2,NA,NA
GÄVGAXXS,2012-10-04 09:00,4100,550,49,NA,NA,NA,9.9,8.5,12.1,NA,NA
GÄVGAXXS,2012-10-06 14:55,1200,180,NA,NA,NA,NA,NA,NA,11.6,NA,NA
GÄVGAXXS,2012-10-08 11:55,560,52,9,NA,NA,32,NA,NA,11.4,NA,NA
GÄVGAXXS,2012-10-11 11:30,830,75,9,NA,NA,NA,NA,NA,10.2,NA,NA
GÄVGAXXS,2012-10-15 12:30,2300,340,33,NA,NA,35,NA,NA,10,NA,NA
GÄVGAXXS,2012-10-17 14:00,NA,NA,NA,NA,NA,NA,NA,NA,10.3,NA,NA
GÄVGAXXS,2012-10-18 00:00,4400,400,29,NA,NA,NA,NA,NA,9.6,NA,NA
GÄVGAXXS,2012-10-22 14:20,1400,300,24,NA,NA,NA,NA,NA,10.1,NA,NA
GÄVGAXXS,2012-10-23 13:15,400,120,NA,NA,NA,NA,7.1,NA,10,NA,NA
GÄVGAXXS,2012-10-25 10:05,560,140,10,NA,NA,NA,NA,NA,10,NA,NA
GÄVGAXXS,2012-10-29 13:40,6500,780,93,NA,NA,22,NA,NA,7.3,NA,NA
GÄVGAXXS,2012-11-02 10:02,1100,160,22,NA,NA,NA,NA,NA,7.2,NA,NA
GÄVGAXXS,2012-11-05 12:10,790,110,12,NA,NA,18,NA,NA,7.3,NA,NA
GÄVGAXXS,2012-11-07 09:00,1100,240,31,NA,NA,NA,NA,NA,6.8,NA,NA
GÄVGAXXS,2012-11-12 14:31,1100,170,31,NA,NA,15,NA,NA,6.2,NA,NA
GÄVGAXXS,2012-11-13 10:30,NA,NA,NA,NA,NA,NA,NA,NA,6.3,NA,NA
GÄVGAXXS,2012-11-15 13:45,510,52,13,NA,NA,NA,4.9,8.7,7,NA,NA
GÄVGAXXS,2012-11-19 09:05,230,86,9,NA,NA,34,NA,NA,6.5,NA,NA
GÄVGAXXS,2012-11-22 10:00,440,74,17,NA,NA,NA,NA,NA,7.1,NA,NA
GÄVGAXXS,2012-11-26 09:35,1600,290,38,NA,NA,64,NA,NA,6.5,NA,NA
GÄVGAXXS,2012-11-30 08:50,1400,510,32,NA,NA,NA,NA,NA,6.1,NA,NA
GÄVGAXXS,2012-12-03 13:00,440,120,11,NA,NA,9,NA,NA,3.5,NA,NA
GÄVGAXXS,2012-12-06 09:40,170,52,22,NA,NA,NA,NA,NA,1.2,NA,NA
GÄVGAXXS,2012-12-10 14:32,300,30,9,NA,NA,10,NA,NA,0.6,NA,NA
GÄVGAXXS,2012-12-11 10:40,270,62,NA,21,NA,NA,14,NA,0.5,NA,NA
GÄVGAXXS,2012-12-13 00:00,260,63,10,NA,NA,NA,NA,NA,0.9,NA,NA
GÄVGAXXS,2012-12-13 09:30,NA,NA,NA,NA,NA,NA,17,8.7,NA,NA,NA
GÄVGAXXS,2012-12-17 14:12,420,96,13,NA,NA,9,NA,NA,0.7,NA,NA
GÄVGAXXS,2012-12-18 10:20,NA,NA,NA,NA,NA,NA,NA,NA,0.7,NA,NA
GÄVGAXXS,2012-12-19 10:55,500,73,12,NA,NA,NA,NA,NA,0.4,NA,NA
GÄVGAXXS,2012-12-20 10:06,300,86,11,NA,NA,NA,NA,NA,0.4,NA,NA
GÄVGAXXS,2012-12-25 07:15,570,130,20,NA,NA,21,NA,NA,0.9,NA,NA
GÄVGAXXS,2012-12-27 10:18,960,210,21,NA,NA,NA,NA,NA,0.9,NA,NA
GÄVGAXXS,2013-01-01 11:15,3400,1300,100,NA,NA,66,NA,NA,1.5,NA,NA
GÄVGAXXS,2013-01-03 09:50,1400,340,30,NA,NA,64,NA,NA,3.1,NA,NA
GÄVGAXXS,2013-01-07 13:15,540,74,15,NA,NA,31,NA,NA,1.5,NA,NA
GÄVGAXXS,2013-01-09 13:09,1500,220,41,NA,NA,NA,NA,NA,1.6,NA,NA
GÄVGAXXS,2013-01-10 09:25,NA,NA,NA,NA,NA,NA,5.3,8.3,NA,NA,NA
GÄVGAXXS,2013-01-14 13:55,NA,NA,4,NA,NA,17,NA,NA,0.6,NA,NA
GÄVGAXXS,2013-01-15 11:55,460,97,NA,NA,NA,NA,NA,NA,1.3,NA,NA
GÄVGAXXS,2013-01-18 00:00,NA,NA,NA,NA,NA,NA,8.8,NA,NA,NA,NA
GÄVGAXXS,2013-01-21 13:45,440,160,13,NA,NA,10,NA,NA,0.6,NA,NA
GÄVGAXXS,2013-01-25 09:05,270,74,13,NA,NA,NA,NA,NA,0.4,NA,NA
GÄVGAXXS,2013-01-28 14:45,480,210,23,NA,NA,21,NA,NA,0.7,NA,NA
GÄVGAXXS,2013-01-31 10:50,990,240,18,NA,NA,NA,NA,NA,0.7,NA,NA
GÄVGAXXS,2013-02-04 14:25,1100,170,10,NA,NA,9,NA,NA,0.7,NA,NA
GÄVGAXXS,2013-02-08 09:10,280,74,3,NA,NA,NA,NA,NA,NA,NA,NA
GÄVGAXXS,2013-02-11 14:15,910,85,10,NA,NA,12,NA,NA,0.2,NA,NA
GÄVGAXXS,2013-02-12 09:30,620,63,3,NA,NA,NA,NA,NA,0.8,NA,NA
GÄVGAXXS,2013-02-14 10:50,340,170,10,NA,NA,NA,NA,NA,0.5,NA,NA
GÄVGAXXS,2013-02-15 09:05,380,160,NA,NA,NA,NA,NA,NA,0.2,NA,NA
GÄVGAXXS,2013-02-18 13:30,990,190,9,NA,NA,8,NA,NA,1.1,NA,NA
GÄVGAXXS,2013-02-20 10:50,650,85,NA,14,NA,NA,3.8,NA,0.7,NA,NA
GÄVGAXXS,2013-02-21 09:00,630,130,12,NA,NA,NA,NA,NA,0.6,NA,NA
GÄVGAXXS,2013-02-22 08:57,700,110,18,NA,NA,NA,NA,NA,0.7,NA,NA
GÄVGAXXS,2013-02-25 10:10,500,63,11,NA,NA,32,NA,NA,0.7,NA,NA
GÄVGAXXS,2013-02-28 10:10,280,97,9,NA,NA,NA,NA,NA,1.1,NA,NA
GÄVGAXXS,2013-03-04 13:55,440,86,5,NA,NA,3,NA,NA,1.2,NA,NA
GÄVGAXXS,2013-03-07 08:25,190,52,6,NA,NA,NA,2.9,8.4,1.1,NA,NA
GÄVGAXXS,2013-03-11 13:35,63,20,8,NA,NA,18,NA,NA,1,NA,NA
GÄVGAXXS,2013-03-12 13:45,NA,NA,NA,NA,NA,NA,NA,NA,1.3,NA,NA
GÄVGAXXS,2013-03-14 08:50,95,41,2,NA,NA,NA,NA,NA,0.8,NA,NA
GÄVGAXXS,2013-03-18 14:00,280,120,10,NA,NA,45,NA,NA,1.4,NA,NA
GÄVGAXXS,2013-03-21 09:25,230,110,21,NA,NA,NA,NA,NA,0.6,NA,NA
GÄVGAXXS,2013-03-25 13:15,120,52,5,NA,NA,<100,NA,NA,1.4,NA,NA
GÄVGAXXS,2013-03-28 09:05,230,98,1,NA,NA,7,NA,NA,1.6,NA,NA
GÄVGAXXS,2013-04-02 00:00,96,31,9,NA,NA,9,NA,NA,2,NA,NA
GÄVGAXXS,2013-04-04 09:53,150,52,10,NA,NA,NA,3.1,8.5,2,NA,NA
GÄVGAXXS,2013-04-08 09:30,98,31,5,NA,NA,16,NA,NA,2.4,NA,NA
GÄVGAXXS,2013-04-11 10:40,98,20,3,18,NA,NA,2.5,NA,2.6,NA,NA
GÄVGAXXS,2013-04-15 11:00,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA
GÄVGAXXS,2013-04-15 13:45,780,150,11,NA,NA,13,NA,NA,3.6,NA,NA
GÄVGAXXS,2013-04-17 08:10,480,97,9,NA,NA,NA,NA,NA,2.9,NA,NA
GÄVGAXXS,2013-04-22 11:50,310,130,7,NA,NA,14,NA,NA,4.7,NA,NA
GÄVGAXXS,2013-04-25 09:30,750,220,13,NA,NA,NA,NA,NA,5.1,NA,NA
GÄVGAXXS,2013-04-29 13:50,680,150,14,NA,NA,<1,NA,NA,6.1,NA,NA
GÄVGAXXS,2013-05-02 09:05,780,63,8,NA,NA,NA,2.9,8.4,NA,NA,NA
GÄVGAXXS,2013-05-06 11:45,200,41,14,NA,NA,2,NA,NA,7.6,NA,NA
GÄVGAXXS,2013-05-10 09:37,910,110,20,NA,NA,NA,NA,NA,8.5,NA,NA
GÄVGAXXS,2013-05-13 14:30,200,74,13,NA,NA,7,NA,NA,10,NA,NA
GÄVGAXXS,2013-05-14 11:00,NA,NA,NA,NA,NA,NA,NA,NA,9.7,NA,NA
GÄVGAXXS,2013-05-16 12:20,21,6,12,NA,NA,NA,NA,NA,10.1,NA,NA
GÄVGAXXS,2013-05-17 13:00,380,74,NA,NA,NA,NA,NA,NA,11.4,NA,NA
GÄVGAXXS,2013-05-20 14:25,580,20,23,NA,NA,19,NA,NA,12.6,NA,NA
GÄVGAXXS,2013-05-23 08:25,490,160,31,NA,NA,NA,NA,NA,12.4,NA,NA
GÄVGAXXS,2013-05-28 12:05,400,86,18,NA,NA,26,NA,NA,14.6,NA,NA
GÄVGAXXS,2013-05-30 09:26,240,86,10,NA,NA,NA,NA,NA,14.8,NA,NA
GÄVGAXXS,2013-06-03 13:33,220,63,13,NA,NA,17,NA,NA,17.5,NA,NA
GÄVGAXXS,2013-06-07 08:58,190,41,3,NA,NA,NA,NA,NA,16.5,NA,NA
GÄVGAXXS,2013-06-10 10:30,880,280,68,NA,NA,25,NA,NA,17,NA,NA
GÄVGAXXS,2013-06-11 10:25,460,93,NA,9,NA,NA,4.7,NA,17.3,NA,NA
GÄVGAXXS,2013-06-13 09:10,840,370,24,NA,NA,NA,4.4,8.4,17.5,NA,NA
GÄVGAXXS,2013-06-17 15:13,960,280,42,NA,NA,42,NA,NA,17.3,NA,NA
GÄVGAXXS,2013-06-20 08:30,250,31,13,NA,NA,41,NA,NA,17.4,NA,NA
GÄVGAXXS,2013-06-24 15:20,1600,120,25,NA,NA,47,NA,NA,16.4,NA,NA
GÄVGAXXS,2013-06-25 09:37,580,74,24,NA,NA,NA,NA,NA,15.8,NA,NA
GÄVGAXXS,2013-06-26 14:08,380,31,31,NA,NA,NA,NA,NA,15,NA,NA
GÄVGAXXS,2013-06-27 08:40,510,63,17,NA,NA,NA,NA,NA,15.2,NA,NA
GÄVGAXXS,2013-07-01 09:38,790,20,18,NA,NA,23,NA,NA,15.7,NA,NA
GÄVGAXXS,2013-07-04 09:00,1500,290,29,NA,NA,NA,NA,NA,15.9,NA,NA
GÄVGAXXS,2013-07-08 10:53,310,20,6,NA,NA,5,NA,NA,17.2,NA,NA
GÄVGAXXS,2013-07-11 12:20,280,31,13,NA,NA,NA,4.8,8.3,17.4,NA,NA
GÄVGAXXS,2013-07-15 14:00,1500,1,8,NA,NA,2,NA,NA,18.4,NA,NA
GÄVGAXXS,2013-07-16 14:00,NA,NA,NA,NA,NA,NA,NA,NA,18.4,NA,NA
GÄVGAXXS,2013-07-18 09:23,960,10,2,NA,NA,NA,NA,NA,17,NA,NA
GÄVGAXXS,2013-07-22 09:30,640,10,2,NA,NA,19,NA,NA,18.9,NA,NA
GÄVGAXXS,2013-07-25 09:06,660,110,10,NA,NA,NA,NA,NA,19.2,NA,NA
GÄVGAXXS,2013-07-29 09:30,5500,680,29,NA,NA,8,NA,NA,20.4,NA,NA
GÄVGAXXS,2013-08-01 09:10,1400,250,16,NA,NA,NA,NA,NA,20.1,NA,NA
GÄVGAXXS,2013-08-05 11:30,670,2,5,NA,NA,9,NA,NA,20.5,NA,NA
GÄVGAXXS,2013-08-08 09:07,NA,NA,NA,NA,NA,NA,3.8,8.2,NA,NA,NA
GÄVGAXXS,2013-08-08 09:17,470,30,5,NA,NA,NA,NA,NA,17.3,NA,NA
GÄVGAXXS,2013-08-12 09:35,600,50,4,NA,NA,9,NA,NA,16.5,NA,NA
GÄVGAXXS,2013-08-15 10:10,NA,NA,NA,NA,NA,NA,NA,NA,15.9,NA,NA
GÄVGAXXS,2013-08-15 14:05,390,74,NA,NA,NA,NA,NA,NA,15.5,NA,NA
GÄVGAXXS,2013-08-16 12:10,310,52,7,NA,NA,NA,NA,NA,15.7,NA,NA
GÄVGAXXS,2013-08-19 14:07,620,74,10,NA,NA,30,NA,NA,17.8,NA,NA
GÄVGAXXS,2013-08-21 08:40,440,20,NA,24,NA,NA,4.3,NA,17,NA,NA
GÄVGAXXS,2013-08-22 09:38,280,31,5,NA,NA,NA,NA,NA,16.6,NA,NA
GÄVGAXXS,2013-08-26 13:38,270,<10,16,NA,NA,15,NA,NA,17.3,NA,NA
GÄVGAXXS,2013-08-29 08:05,380,41,10,NA,NA,NA,NA,NA,17.2,NA,NA
GÄVGAXXS,2013-09-02 15:43,730,52,22,NA,NA,31,NA,NA,16.8,NA,NA
GÄVGAXXS,2013-09-05 12:58,460,41,6,NA,NA,NA,NA,NA,16.9,NA,NA
GÄVGAXXS,2013-09-09 00:00,540,31,7,NA,NA,9,NA,NA,17.2,NA,NA
GÄVGAXXS,2013-09-12 11:50,240,20,5,NA,NA,NA,NA,8.2,16.7,NA,NA
GÄVGAXXS,2013-09-16 13:25,620,63,17,NA,NA,67,NA,NA,16.7,NA,NA
GÄVGAXXS,2013-09-17 11:20,NA,NA,NA,NA,NA,NA,NA,NA,16.2,NA,NA
GÄVGAXXS,2013-09-19 09:30,210,52,6,NA,NA,NA,NA,NA,15,NA,NA
GÄVGAXXS,2013-09-23 14:25,210,20,8,NA,NA,17,NA,NA,15.2,NA,NA
GÄVGAXXS,2013-09-26 10:25,170,41,3,NA,NA,NA,NA,NA,13.6,NA,NA
GÄVGAXXS,2013-09-30 00:00,210,52,4,NA,NA,12,NA,NA,12.4,NA,NA
GÄVGAXXS,2013-10-03 12:25,320,41,7,NA,NA,NA,3.2,8.4,11.5,NA,NA
GÄVGAXXS,2013-10-07 14:33,430,30,17,NA,NA,16,NA,NA,11.9,NA,NA
GÄVGAXXS,2013-10-10 10:00,4100,610,40,NA,NA,NA,NA,NA,11.5,NA,NA
GÄVGAXXS,2013-10-14 12:00,700,97,20,NA,NA,27,NA,NA,11,NA,NA
GÄVGAXXS,2013-10-15 11:00,NA,NA,NA,NA,NA,NA,NA,NA,10.9,NA,NA
GÄVGAXXS,2013-10-17 08:30,660,90,6,NA,NA,NA,NA,NA,11.3,NA,NA
GÄVGAXXS,2013-10-18 10:34,500,98,9,NA,NA,NA,NA,NA,0.6,NA,NA
GÄVGAXXS,2013-10-21 00:00,1200,260,28,NA,NA,26,NA,NA,9.6,NA,NA
GÄVGAXXS,2013-10-22 10:55,3100,440,NA,120,NA,NA,6.3,NA,9.6,NA,NA
GÄVGAXXS,2013-10-24 09:50,2700,710,45,NA,NA,NA,NA,NA,9.9,NA,NA
GÄVGAXXS,2013-10-29 11:45,3800,500,65,NA,NA,100,NA,NA,10.2,NA,NA
GÄVGAXXS,2013-10-30 13:10,5800,960,58,NA,NA,200,NA,NA,10,NA,NA
GÄVGAXXS,2013-10-31 09:08,6500,910,97,NA,NA,120,NA,NA,9.8,NA,NA
GÄVGAXXS,2013-11-04 11:45,3100,860,71,NA,NA,143,NA,NA,11.2,NA,NA
